PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
49056,0,tinyPieChart,3,4.110424,27.272728,10
49056,1,mediumPieChart,4,2.3959296,45.26316,40
49056,2,mediumPieChart,4,-0.2630366,20.833332,20
49056,3,mediumBarChart,1,3.257798,30.434782,40
49056,4,tinyPieChart,3,3.0588934,38.333332,30
49056,5,largeBarChart,2,1.7997015,18.518518,22
49056,6,largePieChart,5,1.1699249,3.7500002,6
49056,7,largePieChart,5,0.5145677,68.571434,70
49056,8,tinyPieChart,3,1.7369651,26.666668,30
49056,9,tinyBarChart,0,0.4150382,8.333334,7
49056,10,mediumPieChart,4,3.9309762,74.747475,90
49056,11,tinyBarChart,0,1.5069622,63.15789,66
49056,12,largePieChart,5,2.6239564,56.164383,50
49056,13,largePieChart,5,3.7089512,23.076923,10
49056,14,tinyBarChart,0,3.530962,63.44086,75
49056,15,largePieChart,5,1.7432237,95.652176,99
49056,16,largeBarChart,2,1.3219281,62.5,60
49056,17,tinyBarChart,0,2.348895,15.094339,10
49056,18,tinyPieChart,3,5.1942096,51.38889,88
49056,19,tinyBarChart,0,1.238512,12.35955,10
49056,20,mediumPieChart,4,4,64,80
49056,21,tinyBarChart,0,0.72102576,51.648354,50
49056,22,mediumBarChart,1,0.9336575,28.089888,30
49056,23,largeBarChart,2,1.091148,10.869565,13
49056,24,largeBarChart,2,2.099536,14.285715,10
49056,25,mediumBarChart,1,1.929611,76.190475,80
49056,26,mediumBarChart,1,1.4808903,8.791209,6
49056,27,mediumBarChart,1,2,86,90
49056,28,tinyBarChart,0,0.3973362,42.682926,44
49056,29,mediumBarChart,1,0.73697,91.66667,90
49056,30,mediumBarChart,1,0.7369634,33.333336,35
49056,31,mediumBarChart,1,2.584962,30.000002,36
49056,32,tinyBarChart,0,3.2879808,30.232557,40
49056,33,largePieChart,5,1.291766,3.4482758,1
49056,34,largeBarChart,2,1,68,70
49056,35,mediumBarChart,1,-3,0,0
49056,36,tinyBarChart,0,1.9551476,56.122444,60
49056,37,mediumPieChart,4,3,25,33
49056,38,tinyBarChart,0,1.7813597,73.4375,70
49056,39,mediumPieChart,4,3.7454925,19.58763,33
49056,40,mediumBarChart,1,2.0995352,85.71429,90
49056,41,largePieChart,5,1.0740002,57.894737,60
49056,42,mediumPieChart,4,2.8457274,69.81132,77
49056,43,tinyBarChart,0,3.2577975,69.565216,60
49056,44,tinyPieChart,3,2.449308,38.46154,33
49056,45,largePieChart,5,4.9499593,70.90909,40
49056,46,mediumPieChart,4,0.9840568,78.02198,80
49056,47,tinyBarChart,0,-3.392323,88.09524,88
49056,48,mediumBarChart,1,-0.9260049,39.473686,40
49056,49,largePieChart,5,2.2278051,48.684208,44
49056,50,tinyBarChart,0,0.24101487,78.18182,77
49056,51,tinyPieChart,3,3.321928,25,35
49056,52,tinyPieChart,3,4.397493,67.92453,89
49056,53,mediumBarChart,1,0.12029358,51.086956,50
49056,54,mediumPieChart,4,-0.5459739,50.68493,50
